,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,Let Somebody Go - Kygo Remix,Let Somebody Go (Kygo Remix),Coldplay,2022-03-11,197267,62,0.552,0.163,0.552,0.721,0.000183,0.0808,-7.313,0.0323,162.09,4
38,Slow Down (Brega Funk Remix),Quarenight,Ventura,2020-05-28,154482,37,0.764,0.0277,0.764,0.695,0.223,0.0728,-5.995,0.0913,173.998,4
39,Sentando no Pula Pula,Sentando no Pula Pula,Mc Dricka,2021-04-02,174962,47,0.904,0.399,0.904,0.63,1.44e-05,0.15,-7.066,0.166,131.883,4
40,MOMENTS,MOMENTS,GAWVI,2017-12-15,250531,51,0.875,0.152,0.875,0.488,0.0,0.683,-8.264,0.0738,135.026,4
41,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),Camila Cabello,2022-03-04,206070,91,0.756,0.182,0.756,0.697,0.0,0.333,-6.377,0.0401,94.996,4
42,Wildest Dreams,1989,Taylor Swift,2014-01-01,220440,79,0.553,0.0709,0.553,0.664,0.0056,0.106,-7.417,0.0741,140.06,4
43,Hard 2 Face Reality,Hard 2 Face Reality,Poo Bear,2018-04-06,196569,71,0.625,0.22,0.625,0.626,0.0,0.228,-5.281,0.0293,142.043,4
44,she's all i wanna be,she's all i wanna be,Tate McRae,2022-02-04,206772,88,0.614,0.0134,0.614,0.644,7.07e-06,0.117,-5.372,0.0426,160.036,4
45,Vai e Vem,Vai e Vem,Giana,2022-02-17,154060,50,0.747,0.0362,0.747,0.565,0.0,0.268,-6.111,0.0429,133.143,4
46,É Só Blusão da Ecko e Boné da Lacoste Vs Putaria (feat. Mc Denny),É Só Blusão da Ecko e Boné da Lacoste Vs Putaria (feat. Mc Denny),Dj Tk,2021-06-14,133680,74,0.599,0.0473,0.599,0.776,1.06e-05,0.119,-3.229,0.432,162.745,5
47,DANÇARINA,CHAMA MEU NOME,PEDRO SAMPAIO,2022-02-02,110222,87,0.778,0.0423,0.778,0.571,0.0,0.0964,-4.776,0.0788,134.999,4
48,First Time,First Time,ILLENIUM,2021-03-12,165779,66,0.526,0.0505,0.526,0.667,0.0,0.321,-5.451,0.0437,155.085,4
49,LAst dAy oN EaRTh,LAst dAy oN EaRTh,Tai Verdes,2022-01-13,172755,76,0.494,0.413,0.494,0.553,4.17e-05,0.218,-5.57,0.197,82.061,4
50,Profissão F0Da,Profissão F0Da,DJ Roca,2021-08-19,146307,69,0.717,0.0729,0.717,0.549,0.173,0.294,-6.57,0.076,130.039,4
51,"Louis V, Menina Linda","Louis V, Menina Linda",Sidoka,2021-05-12,215004,73,0.905,0.71,0.905,0.47,2.37e-06,0.127,-11.143,0.115,127.054,4
52,Aqui Em BH Ninguém É de Ninguém,Aqui Em BH Ninguém É de Ninguém,Dj Scar,2021-07-30,160413,64,0.638,0.467,0.638,0.495,0.0,0.221,-5.328,0.112,85.547,5
53,A-O-K,TV,Tai Verdes,2021-05-20,173640,78,0.731,0.125,0.731,0.626,0.0,0.183,-6.919,0.0805,82.488,4
54,Sigilo Perigoso,Sigilo Perigoso,Anderson Neiff,2021-10-13,171693,61,0.794,0.112,0.794,0.928,9.06e-06,0.179,-2.773,0.333,149.937,4
55,Un Año,FANTASÍA,Sebastian Yatra,2019-04-12,163813,65,0.773,0.14,0.773,0.378,0.0,0.133,-7.062,0.0531,94.946,4
56,Ela me Falou Que Quer Rave,Ela me Falou Que Quer Rave,Various Artists,2021-10-25,235206,74,0.832,0.271,0.832,0.641,0.0194,0.487,-6.048,0.0897,133.041,4
57,Camisa 10 - Ao Vivo,O Som das Multidões,Turma do Pagode,2012-07-09,176586,60,0.516,0.719,0.516,0.896,0.0,0.898,-5.704,0.236,88.759,4
58,pessoa certa hora errada,pessoa certa hora errada,GIULIA BE,2021-09-09,164170,66,0.751,0.422,0.751,0.493,0.0,0.629,-4.953,0.17,141.812,4
59,O Porte da 40,O Porte da 40,Various Artists,2021-07-01,184615,66,0.624,0.771,0.624,0.555,0.012,0.103,-1.832,0.0781,77.385,4
60,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)","Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)",DJ Patrick Muniz,2021-09-28,214270,72,0.863,0.63,0.863,0.701,0.000583,0.276,-5.038,0.212,129.911,4
61,Bala Love,Bala Love,Mc Anjim,2021-06-18,221538,74,0.628,0.807,0.628,0.318,0.101,0.19,-8.887,0.0507,86.453,5
62,Stereo Hearts (feat. Adam Levine),Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2011-06-14,210960,57,0.646,0.0319,0.646,0.795,0.0,0.267,-3.293,0.0976,89.99,4
